	A	B	C	D	NEXTWEEKBAP	BAP	BD	SAC	PK	NIMISSFIND	NIMEMREF	OL
2016:2:4:7:DANSHUI	2	1	2	4	0	1	9	5	18	7	0	13
2016:2:4:7:GUISHAN	0	0	2	1	0	0	3	2	9	1	0	4
2016:2:4:7:HUALIAN_1	0	2	1	9	0	0	13	6	14	11	2	27
2016:2:4:7:HUALIAN_2	0	0	3	4	0	1	7	4	8	3	1	5
2016:2:4:7:HUALIAN_3	0	0	5	9	0	1	22	4	22	11	2	22
2016:2:4:7:JILONG	0	0	3	11	0	0	14	6	16	3	2	9
2016:2:4:7:JINGXIN	1	0	0	5	1	1	12	5	18	14	0	16
2016:2:4:7:JINHUA	1	2	3	11	2	0	20	5	18	8	2	29
2016:2:4:7:LONGTAN	0	0	0	1	0	0	2	0	6	2	0	3
2016:2:4:7:LUZHOU	0	0	4	5	0	0	13	6	15	10	2	22
2016:2:4:7:MIAOLI	0	1	0	3	1	0	6	4	13	11	0	26
2016:2:4:7:MUZHA	0	1	1	8	1	1	13	4	18	13	0	16
2016:2:4:7:NEIHU	0	0	0	1	0	0	5	7	10	9	1	16
2016:2:4:7:SANCHONG	0	0	2	2	0	0	7	2	21	6	0	5
2016:2:4:7:SANXIA	0	0	2	7	0	0	9	5	16	7	1	17
2016:2:4:7:SHILIN	0	0	0	1	0	0	5	1	5	4	0	17
2016:2:4:7:SIYUAN	0	0	1	3	0	0	5	1	8	5	1	9
2016:2:4:7:SONGSHAN	0	0	10	6	0	0	19	7	24	7	2	14
2016:2:4:7:TAIDONG_1	0	0	3	2	0	0	6	6	12	9	0	19
2016:2:4:7:TAIDONG_2	0	0	7	3	0	1	12	6	17	5	3	15
2016:2:4:7:TAIDONG_3	0	2	2	1	2	1	6	6	2	3	1	12
2016:2:4:7:TAOYUAN_1	1	0	0	0	1	1	3	1	9	2	2	6
2016:2:4:7:TAOYUAN_2	0	1	3	1	1	0	9	11	12	11	3	15
2016:2:4:7:TAOYUAN_3	0	0	1	6	0	0	10	1	10	8	1	16
2016:2:4:7:TAOYUAN_4	0	0	1	6	0	0	9	3	10	13	0	33
