	CLASSLEVEL	NEWINV	NEWSTUDENTS	TOTALNONMEM	TOTALSTUDENTS
2016:3:3:3:0:ZHONGHE_1	Intermediate	0	2	13	13
2016:3:3:3:0:ZHONGHE_2	beginner	0	1	5	6
2016:3:3:3:0:ZHONGLI_1	Children	0	0	1	4
2016:3:3:3:0:ZHONGLI_2	Beginning/Intermediate	0	3	14	18
2016:3:3:3:0:ZHUBEI_1	gaoji	2	1	5	5
2016:3:3:3:0:ZHUBEI_2	初級	1	4	12	16
2016:3:3:3:0:ZHUBEI_3	兒童班	0	0	3	13
2016:3:3:3:0:ZHUDONG	adv	0	1	13	13
2016:3:3:3:0:ZHUNAN	zhongjiban	2	2	7	7
2016:3:4:3:0:ANKANG	beginner	0	2	11	18
2016:3:4:3:0:BADE	中	0	9	22	31
2016:3:4:3:0:BEITOU	BEGINNER	3	4	7	10
2016:3:4:3:0:DANFENG	Begin	0	1	4	4
2016:3:4:3:0:DANSHUI	advanced	0	2	8	8
2016:3:4:3:0:GUISHAN	BEGin	0	1	3	10
2016:3:4:3:0:HUALIAN_1	gaoji	0	0	17	19
2016:3:4:3:0:HUALIAN_2	beginner	0	2	3	8
2016:3:4:3:0:JILONG	BEGINNER	0	0	19	24
2016:3:4:3:0:JINGXIN	高級	0	1	12	14
2016:3:4:3:0:JINHUA	childrens	1	2	20	23
2016:3:4:3:0:LUZHOU	高級	0	0	2	2
2016:3:4:3:0:MIAOLI	intermediate	0	0	0	0
2016:3:4:3:0:MUZHA	BEGINNER	0	1	4	5
2016:3:4:3:0:NEIHU	int	0	5	17	19
2016:3:4:3:0:SANCHONG	beginner	5	8	10	23
2016:3:4:3:0:SANXIA	beginner	0	2	9	14
2016:3:4:3:0:SHILIN	kids	0	0	2	2
2016:3:4:3:0:SIYUAN	ADVANCEDANDINTERMEDIATE	0	7	19	20
2016:3:4:3:0:SONGSHAN	ADVANCED	1	1	16	22
2016:3:4:3:0:TAIDONG_1	BEGINNER	1	3	18	22
2016:3:4:3:0:TAIDONG_2	advanced	0	0	5	7
2016:3:4:3:0:TAIDONG_3	ZHONG	1	0	9	11
2016:3:4:3:0:TAOYUAN_1	kids	3	5	12	19
2016:3:4:3:0:TAOYUAN_2	advanced	1	0	14	15
2016:3:4:3:0:TAOYUAN_3	兒童	0	3	4	12
2016:3:4:3:0:TAOYUAN_4	Beginner	1	2	14	19
2016:3:4:3:0:TIANMU	beginner	0	3	15	18
2016:3:4:3:0:TOUFEN	Zhongji	0	0	2	4
2016:3:4:3:0:TUCHENG	高級	1	2	16	21
2016:3:4:3:0:WANDA	Intermediate	0	3	9	11
2016:3:4:3:0:XIANGSHAN	gaojiban	0	0	0	0
2016:3:4:3:0:XINAN	beginner	0	3	12	12
2016:3:4:3:0:XINBAN	child	2	8	27	32
2016:3:4:3:0:XINDIAN	INTERMEDIATE	0	5	10	23
2016:3:4:3:0:XINPU	ADVANCED	2	0	3	5
2016:3:4:3:0:XINZHU_1	中級班跟初級班	1	1	13	13
2016:3:4:3:0:XINZHU_3	ADVANCED	0	1	6	6
2016:3:4:3:0:XIZHI	INTERMEDIATE	0	4	9	13
2016:3:4:3:0:YILAN	children	0	4	7	9
2016:3:4:3:0:YONGHE	child	0	2	14	14
2016:3:4:3:0:YULI	adv	0	1	2	2
2016:3:4:3:0:ZHONGHE_1	Intermediate	1	1	14	15
2016:3:4:3:0:ZHONGHE_2	beginner	0	3	12	14
2016:3:4:3:0:ZHONGLI_1	beginner	0	3	9	10
2016:3:4:3:0:ZHONGLI_2	advanced	1	1	5	7
2016:3:4:3:0:ZHUBEI_1	gaoji	0	0	0	0
2016:3:4:3:0:ZHUBEI_2	初級	0	0	11	15
2016:3:4:3:0:ZHUBEI_3	children	0	1	3	14
2016:3:4:3:0:ZHUDONG	Everyone	0	1	6	8
2016:3:4:3:0:ZHUNAN	child	0	1	6	9
2016:3:4:3:1:TAOYUAN_3	gaoji	0	6	12	21
2016:3:4:3:1:YILAN	beginning	0	6	16	19
